,vote_type,proposal_id,title,proposal_choice,voting_power
39,token_house,0x317eabd9e74b21985e60d2b202db579eef7279d87578e34dcea10910006c2d9f,Anticapture Commission,ABSTAIN,287585.7896327937
40,token_house,0x338174303a8655cd2d5f5df3979cb408d150e9e634d13963ed6a97c95f597d2f,Season 6: Grants Council Operating Budget ,FOR,48833678.24212
41,token_house,0x338174303a8655cd2d5f5df3979cb408d150e9e634d13963ed6a97c95f597d2f,Season 6: Grants Council Operating Budget ,ABSTAIN,1207587.7032373406
42,token_house,0x338174303a8655cd2d5f5df3979cb408d150e9e634d13963ed6a97c95f597d2f,Season 6: Grants Council Operating Budget ,AGAINST,152503.1130869371
43,token_house,0x344714ee9e2aa675f29cef29eb9ed2b63a94ba2804b55450e0d44fd1964e87e9,Chain Delegation Program,FOR,43439059.00400382
44,token_house,0x344714ee9e2aa675f29cef29eb9ed2b63a94ba2804b55450e0d44fd1964e87e9,Chain Delegation Program,ABSTAIN,2533373.707550721
45,token_house,0x344714ee9e2aa675f29cef29eb9ed2b63a94ba2804b55450e0d44fd1964e87e9,Chain Delegation Program,AGAINST,162265.1211748727
46,token_house,0x380da54ff1c33222f84ff06b274b7e988b95e1cb80c2c675009027960a421465,Code of Conduct Violation: Carlos Melgar,ABSTAIN,27080684.7233773
47,token_house,0x380da54ff1c33222f84ff06b274b7e988b95e1cb80c2c675009027960a421465,Code of Conduct Violation: Carlos Melgar,AGAINST,15216557.165632907
48,token_house,0x380da54ff1c33222f84ff06b274b7e988b95e1cb80c2c675009027960a421465,Code of Conduct Violation: Carlos Melgar,FOR,2250417.3066406273
49,token_house,0x393794828149a722498eb15c82f7314edfcae0a1ea78c8740f904b6a40a95ab8,Grants Council Reviewer Elections: Audit Reviewer,MULTIPLE,43311107.596834205
50,token_house,0x393794828149a722498eb15c82f7314edfcae0a1ea78c8740f904b6a40a95ab8,Grants Council Reviewer Elections: Audit Reviewer,ABSTAIN,1239525.3761024547
51,token_house,0x3bad7fcad987c30f1327902ea3a29b8ea52ca358846c6c01feb3a85155044e37,Code of Conduct Council Budget,FOR,41722208.19862246
52,token_house,0x3bad7fcad987c30f1327902ea3a29b8ea52ca358846c6c01feb3a85155044e37,Code of Conduct Council Budget,AGAINST,2415000.400178855
53,token_house,0x3bad7fcad987c30f1327902ea3a29b8ea52ca358846c6c01feb3a85155044e37,Code of Conduct Council Budget,ABSTAIN,289774.6758702964
54,token_house,0x3caa763c751e06b1641ecbb9b2591822e776323174f6ff89ce80d2ff71db0659,Security Council: Vote #1,FOR,46176532.35167562
55,token_house,0x3caa763c751e06b1641ecbb9b2591822e776323174f6ff89ce80d2ff71db0659,Security Council: Vote #1,AGAINST,49919.40390461898
56,token_house,0x3caa763c751e06b1641ecbb9b2591822e776323174f6ff89ce80d2ff71db0659,Security Council: Vote #1,ABSTAIN,24767.490208663414
57,token_house,0x3d8243fb687fb6da57965d03542dd489a708787bd352912c9db2955aef1c17fa,N/A,FOR,2979.9029547144596
58,token_house,0x3d8243fb687fb6da57965d03542dd489a708787bd352912c9db2955aef1c17fa,N/A,ABSTAIN,19.52075896245297
59,token_house,0x3da27e3dab53e76845ba930b141b8b6549358a4d3405056be1350596509c44fa,"Delegate Suspension: Fractal Visions - All Optimism Delegates are bound by the delegate code of conduct (https://gov.optimism.io/t/delegate-code-of-conduct/3943.) Severe code of conduct violations are subject to a three month suspension and are decided via Token House vote. - This Delegate Suspension Proposal is eligible for voting in Voting Cycle #11: https://gov.optimism.io/t/delegate-suspension-fractal-visions/5710 // Note: the approval threshold for this proposal is 51%, or 20424975 OP. The value displayed by the frontend may differ.",FOR,19044205.067966297
60,token_house,0x3da27e3dab53e76845ba930b141b8b6549358a4d3405056be1350596509c44fa,"Delegate Suspension: Fractal Visions - All Optimism Delegates are bound by the delegate code of conduct (https://gov.optimism.io/t/delegate-code-of-conduct/3943.) Severe code of conduct violations are subject to a three month suspension and are decided via Token House vote. - This Delegate Suspension Proposal is eligible for voting in Voting Cycle #11: https://gov.optimism.io/t/delegate-suspension-fractal-visions/5710 // Note: the approval threshold for this proposal is 51%, or 20424975 OP. The value displayed by the frontend may differ.",ABSTAIN,6253787.504842005
61,token_house,0x3da27e3dab53e76845ba930b141b8b6549358a4d3405056be1350596509c44fa,"Delegate Suspension: Fractal Visions - All Optimism Delegates are bound by the delegate code of conduct (https://gov.optimism.io/t/delegate-code-of-conduct/3943.) Severe code of conduct violations are subject to a three month suspension and are decided via Token House vote. - This Delegate Suspension Proposal is eligible for voting in Voting Cycle #11: https://gov.optimism.io/t/delegate-suspension-fractal-visions/5710 // Note: the approval threshold for this proposal is 51%, or 20424975 OP. The value displayed by the frontend may differ.",AGAINST,15104.662432923264
62,token_house,0x3f3bc08d05d9bde20f495e76334daeeda34ce94ed656704186693a3f2dbaa790,N/A,FOR,0.0
63,token_house,0x3f7d983067c635b12a9bdacb0718c76d687080082b1771160026bf156f33c134,"Mission Requests: Intent #3, 1.33M OP",MULTIPLE,46062444.16987231
64,token_house,0x3f7d983067c635b12a9bdacb0718c76d687080082b1771160026bf156f33c134,"Mission Requests: Intent #3, 1.33M OP",ABSTAIN,1462192.5463716127
65,token_house,0x41f3bf9cb86cc1ed39f28ad1e77f9c41ce974cbf18d51739a736d9f65b4a201f,Treasury Appropriation (Foundation Year 2 Budget Approval),FOR,14213749.790442603
66,token_house,0x41f3bf9cb86cc1ed39f28ad1e77f9c41ce974cbf18d51739a736d9f65b4a201f,Treasury Appropriation (Foundation Year 2 Budget Approval),AGAINST,5325002.384805931
67,token_house,0x41f3bf9cb86cc1ed39f28ad1e77f9c41ce974cbf18d51739a736d9f65b4a201f,Treasury Appropriation (Foundation Year 2 Budget Approval),ABSTAIN,1706274.115616474
68,token_house,0x48e4c186faf2efa6b0f18040818777c1258d2a724dc679577543b9650974260c,Intent #2 - Council Intent Budget Proposal,FOR,25810609.02697631
69,token_house,0x48e4c186faf2efa6b0f18040818777c1258d2a724dc679577543b9650974260c,Intent #2 - Council Intent Budget Proposal,AGAINST,18618.580908524917
70,token_house,0x48e4c186faf2efa6b0f18040818777c1258d2a724dc679577543b9650974260c,Intent #2 - Council Intent Budget Proposal,ABSTAIN,6316.13204959401
71,token_house,0x49e71edbeb3d77bfe19d65afa1bedd430d224afaafafe6cca6aaf88b295cbf27,N/A,FOR,23.858251338890707
72,token_house,0x6005a288bccdfa70cd2b84d290fd4c2b140e17d448c7e1c88490929e2c8cf7cc,N/A,FOR,1175331.0350128566
73,token_house,0x6005a288bccdfa70cd2b84d290fd4c2b140e17d448c7e1c88490929e2c8cf7cc,N/A,ABSTAIN,370.53364673195983
74,token_house,0x60bb747db6046b03c387dfb6902674ea6c216cf0aeaa2b98cfce303c801e81e7,N/A,MULTIPLE,73.0655615792231
75,token_house,0x635554023a863381f45a2cd05c6c765c702b6098b00fce62c79fd70220371a9,Council Reviewer Elections: Builders Grants,MULTIPLE,19550751.716870543
76,token_house,0x635554023a863381f45a2cd05c6c765c702b6098b00fce62c79fd70220371a9,Council Reviewer Elections: Builders Grants,FOR,1462139.0585462938
77,token_house,0x671b57c4aa67daeed2fc83fa8a2c35cd332e34728a71a4531e77886361266775,N/A,FOR,210.0
78,token_house,0x672a186e185b3fe64851e6de14b0f50e71c4d8d4b51c2ad89d4ed3281ecc65ed,Season 6: Intents Ratification ,FOR,49553005.1377162
79,token_house,0x672a186e185b3fe64851e6de14b0f50e71c4d8d4b51c2ad89d4ed3281ecc65ed,Season 6: Intents Ratification ,ABSTAIN,1023572.3737697876
80,token_house,0x672a186e185b3fe64851e6de14b0f50e71c4d8d4b51c2ad89d4ed3281ecc65ed,Season 6: Intents Ratification ,AGAINST,60547.17333588988
81,token_house,0x675ef0457f81fd4213b3dceb3105eef7e3463bdc2e5ff9079f5d7d25ec4548ea,Intent 2 Budget Proposal 2,FOR,20633863.932772156
82,token_house,0x675ef0457f81fd4213b3dceb3105eef7e3463bdc2e5ff9079f5d7d25ec4548ea,Intent 2 Budget Proposal 2,ABSTAIN,7203148.398258547
83,token_house,0x675ef0457f81fd4213b3dceb3105eef7e3463bdc2e5ff9079f5d7d25ec4548ea,Intent 2 Budget Proposal 2,AGAINST,48603.850948756306
84,token_house,0x685fa3271eec5781469f98ccff22e21dacd387d200be6f56286dfcdb9fcc36e7,N/A,MULTIPLE,44259.10599675262
85,token_house,0x685fa3271eec5781469f98ccff22e21dacd387d200be6f56286dfcdb9fcc36e7,N/A,FOR,4203.981263271296
86,token_house,0x6878507b65a7acd702e6591e59ef619136ba342734d0ff58b3e16f4e139253c3,Protocol Upgrade #6: Multi-Chain Prep (MCP) L1,FOR,35280182.27842879
87,token_house,0x6878507b65a7acd702e6591e59ef619136ba342734d0ff58b3e16f4e139253c3,Protocol Upgrade #6: Multi-Chain Prep (MCP) L1,ABSTAIN,4806224.9500197815
88,token_house,0x6878507b65a7acd702e6591e59ef619136ba342734d0ff58b3e16f4e139253c3,Protocol Upgrade #6: Multi-Chain Prep (MCP) L1,AGAINST,4132.643255467712
89,token_house,0x687a893ab4a927fff63693cd1748e8e5282332b6af49b879a99907f535f5034f,Governor Update Proposal #2: Improvements to advanced delegation allowance calculations ,FOR,60710372.952075355
90,token_house,0x687a893ab4a927fff63693cd1748e8e5282332b6af49b879a99907f535f5034f,Governor Update Proposal #2: Improvements to advanced delegation allowance calculations ,AGAINST,5165.368156496252
